Area,Norma,Requisito,Estado,Evidencia,Cómo cumplir / cómo refactorizar,Prioridad
Backend,LFPDPPP,"Aviso de privacidad publicado y accesible",Parcial,"docs/system/02-requisitos.md:49 (referencia)","Crear página /privacy, publicarla y enlazarla desde el banner de consentimiento",Alta
Backend,LFPDPPP,"Consentimiento explícito de tratamiento (campo data_consent)",Cumple,"core_backend/apps/authentication/models.py:35-39 (campo Boolean)","Validar data_consent en registro, guardar data_consent_date",Media
Backend,LFPDPPP,"Cifrado en reposo de objetos en S3/MinIO",Parcial,"core_backend/mole_ai_backend/settings.py:221-229 (config S3 sin cifrado obligatorio)","Activar SERVER_SIDE_ENCRYPTION en S3 y cifrado en MinIO",Media
Backend,LFPDPPP,"Retención y borrado seguro (soft-delete, política de retención)",Parcial,"core_backend/apps/authentication/models.py:63-66 (soft-delete timestamps)","Definir política de retención (2 años) y job Celery de purga",Media
Backend,LFPDPPP,"Control de acceso (JWT, permisos DRF)",Cumple,"core_backend/mole_ai_backend/settings.py:160-174 (JWT, DEFAULT_PERMISSION_CLASSES)","Mantener, asegurar cobertura de pruebas de autorización",Alta
Backend,ISO/IEC 25000,"Gestión de errores con respuestas API estructuradas",Parcial,"core_backend/apps/authentication/views.py:55 (comentario)","Implementar respuestas JSON con códigos HTTP, añadir tests de integración",Media
Backend,ISO/IEC 25000,"Documentación de funciones críticas (docstrings, Sphinx)",Parcial,"core_backend/apps/core/tasks.py:4-6 (hash SHA-256)","Completar docstrings, generar Sphinx docs",Media
Backend,MoproSoft,"Gestión de versiones y trazabilidad de cambios (Gitflow)",No cumple,"No hay referencia a flujo de trabajo de ramas ni política de Pull-Request.","Definir y documentar proceso Gitflow en docs/processes/git-workflow.md",Alta
Backend,MoproSoft,"Gestión de incidencias y tickets",No cumple,"No hay tracker interno.","Adoptar GitHub Issues o Jira, enlazar commits/PRs con issue",Alta
Backend,ISO/IEC 25000,"Uso de hashing (SHA-256) para PII en logs",Cumple,"core_backend/apps/core/tasks.py:4-6 (hash SHA-256)","Mantener, añadir pruebas unitarias de hashing",Alta
Frontend,LFPDPPP,"Banner de aviso y captura de consentimiento",Cumple,"frontend/src/js/modules/ui/privacy.js:33-38 (banner)","Añadir llamada API POST /api/v1/users/{id}/consent y validar actualización en base de datos",Alta
Frontend,LFPDPPP,"Enmascarado de query strings en logs",Parcial,"infrastructure/nginx/nginx.conf:13 (comentario)","Descomentar exclusión $query_string y habilitar Strict-Transport-Security",Media
Frontend,ISO/IEC 25000,"Accesibilidad del banner (ARIA, contraste)",No cumple,"Sin atributos ARIA ni contraste suficiente en CSS del banner.","Añadir role=alertdialog, aria-label, ajustar colores para contraste ≥4.5:1",Media
Frontend,ISO/IEC 25000,"Compresión y minificación de assets estáticos",Parcial,"nginx.conf sin gzip configurado","Activar gzip on; y servir versiones minificadas generadas por Vite/Webpack",Media
Frontend,MoproSoft,"Gestión de versiones de UI (release notes)",No cumple,"No existe CHANGELOG.md para UI.","Crear docs/changelog_frontend.md y actualizar en cada release",Baja
Frontend,ISO/IEC 25000,"Compatibilidad con navegadores principales",Parcial,"Sólo pruebas locales en Chrome (frontend/tests/)","Añadir pruebas Selenium/Cypress para Chrome, Firefox, Edge, usar polyfills",Media
Micro‑servicios,LFPDPPP,"Pseudo-anonimización de UUID en logs",Cumple,"microservices/mole_vision/app/core/security.py:22-24 (hash SHA-256)","Mantener, añadir pruebas unitarias de hashing",Alta
Micro‑servicios,LFPDPPP,"Sanitización de email y teléfono",Cumple,"microservices/mole_chat/app/core/pii_sanitizer.py:9 (motor sanitización)","Mantener, cubrir con pruebas unitarias de sanitización",Media
Micro‑servicios,LFPDPPP,"Prompt sanitization (evitar fuga de PII)",Cumple,"microservices/mole_chat/app/core/security.py:21 (hash)","Mantener, incluir en pruebas de integración",Media
Micro‑servicios,ISO/IEC 25000,"Circuit-breaker / retries en llamadas inter-service",Parcial,"edge_node/openclaw_gateway.py contiene lógica de circuit-breaker; services usan HTTP sin fallback.","Integrar pybreaker o resilience4j-python en cada cliente HTTP interno, cubrir con pruebas de falla simuladas",Alta
Micro‑servicios,ISO/IEC 25000,"Gestión de dependencias bloqueadas (requirements.lock)",Parcial,"Cada micro-service tiene requirements.txt sin versiones fijas.","Generar requirements.lock con pip-compile, usar en Dockerfiles, actualizar CI",Media
Micro‑servicios,MoproSoft,"Procedimientos de despliegue (versionado de imágenes Docker)",Parcial,"docker-compose.yml define servicios sin tags de versión.","Etiquetar imágenes con versiones semánticas (service:1.2.0) y publicar en registry interno",Media
